snippet_len	2gram_accuracy	2gram_time	3gram_accuracy	3gram_time	stopword_accuracy	stopword_time
5	0.9525		0.9925		0.885	
9	0.99		1		0.9725	
10	0.995	0.000845525	1	0.007512441	0.9725	0.000161029
11	1		1		0.9775	
12	1		1		0.9775	
15	1		1		0.985	
20	1		1		0.9875	
25	1		1		0.995	
30	1		1		0.9975	
40	1		1		1	
